question,ground_truth_answer,source_passage,question_type,difficulty,section,chunk_id
"What is the total net sales for the year ended September 27, 2025?","416,161","CONSOLIDATED STATEMENTS OF OPERATIONS (In millions, except number of shares, which are reflected in thousands, and per-share amounts) Years ended September 27, 2025 September 28, 2024 September 30, 2023 Net sales: Products $ 307,003 $ 294,866 $ 298,085 Services 109,158 96,169 85,200 Total net sales 416,161 391,035 383,285",fact_extraction,easy,Financial Statements,chunk_008
What is the par value of Apple Inc.'s common stock?,$0.00001,"Common stock and additional paid-in capital, $ 0.00001 par value:",fact_extraction,easy,Financial Statements,chunk_009
"What is the total amount of cash paid for income taxes, net, for the year ended September 27, 2025?","$43,369","Cash paid for income taxes, net $ 43,369 $ 26,102 $ 18,679",fact_extraction,easy,Financial Statements,chunk_009
What is the fiscal year of Apple Inc.?,The 52- or 53-week period that ends on the last Saturday of September.,The Company’s fiscal year is the 52- or 53-week period that ends on the last Saturday of September.,fact_extraction,easy,Financial Statements,chunk_010
How often is an additional week included in the first fiscal quarter?,Every five or six years.,"An additional week is included in the first fiscal quarter every five or six years to realign the Company’s fiscal quarters with calendar quarters, which occurred in the first fiscal quarter of 2023.",fact_extraction,easy,Financial Statements,chunk_010
What is the method used to recognize share-based compensation expense?,Straight-line basis.,The Company recognizes share-based compensation expense on a straight-line basis for its estimate of equity awards that will ultimately vest.,fact_extraction,easy,Financial Statements,chunk_010
What is the maximum maturity of highly liquid investments treated as cash equivalents?,Three months or less.,All highly liquid investments with maturities of three months or less at the date of purchase are treated as cash equivalents.,fact_extraction,easy,Financial Statements,chunk_010
What is the method used to determine the cost of securities sold?,Specific identification method.,The cost of securities sold is determined using the specific identification method.,fact_extraction,easy,Financial Statements,chunk_010
How often does the Company's fiscal year span 53 weeks?,Every 5-6 years.,"An additional week is included in the first fiscal quarter every five or six years to realign the Company’s fiscal quarters with calendar quarters, which occurred in the first fiscal quarter of 2023.",comparison,medium,Financial Statements,chunk_010
What is the method used to account for lease and nonlease components?,Combined as a single lease component.,The Company combines and accounts for lease and nonlease components as a single lease component for leases of corporate and retail facilities.,fact_extraction,easy,Financial Statements,chunk_010
What is the reason for the Company to record reductions to Products net sales?,"Future product returns, price protection, and other customer incentive programs.","The Company records reductions to Products net sales related to future product returns, price protection and other customer incentive programs based on the Company’s expectations and historical experience.",fact_extraction,easy,Financial Statements,chunk_010
What is the method used to recognize revenue for the Company's Services net sales?,Over time as services are delivered.,"For the Company’s Services net sales, control transfers over time as services are delivered.",fact_extraction,easy,Financial Statements,chunk_010
"What is the first material performance obligation in arrangements involving the sale of iPhone, Mac, and iPad?",The hardware and bundled software delivered at the time of sale.,"The first material performance obligation, which represents the substantial portion of the allocated sales price, is the hardware and bundled software delivered at the time of sale.",fact_extraction,easy,Financial Statements,chunk_011
What is the method used to allocate revenue to all distinct performance obligations when observable prices are not available?,The Company’s best estimates of what the selling prices of the performance obligations would be if they were sold regularly on a stand-alone basis.,"When observable prices are not available, SSPs are established that reflect the Company’s best estimates of what the selling prices of the performance obligations would be if they were sold regularly on a stand-alone basis.",fact_extraction,easy,Financial Statements,chunk_011
How does the Company account for third-party application–related sales on the App Store?,The Company accounts for all third-party application–related sales on a net basis by recognizing in Services net sales only the commission it retains.,"For third-party applications sold through the App Store, the Company does not obtain control of the product before transferring it to the customer. Therefore, the Company accounts for all third-party application–related sales on a net basis by recognizing in Services net sales only the commission it retains.",fact_extraction,easy,Financial Statements,chunk_011
What is the total net sales for 2025?,"$416,161 million","The following table shows disaggregated net sales, as well as the portion of total net sales that was previously deferred, for 2025, 2024 and 2023 (in millions): 2025 2024 2023 iPhone $ 209,586 $ 201,183 $ 200,583 Mac 33,708 29,984 29,357 iPad 28,023 26,694 28,300 Wearables, Home and Accessories 35,686 37,005 39,845 Services (1) 109,158 96,169 85,200 Total net sales $ 416,161 $ 391,035 $ 383,285",numeric_calculation,easy,Financial Statements,chunk_011
What is the method used to recognize revenue allocated to product-related bundled services?,Revenue allocated to product-related bundled services is deferred and recognized on a straight-line basis over the estimated period they are expected to be provided.,Revenue allocated to product-related bundled services is deferred and recognized on a straight-line basis over the estimated period they are expected to be provided.,fact_extraction,easy,Financial Statements,chunk_011
"What is the total deferred revenue as of September 27, 2025?",$13.7 billion,"As of September 27, 2025 and September 28, 2024, the Company had total deferred revenue of $ 13.7 billion and $ 12.8 billion, respectively.",numeric_calculation,easy,Financial Statements,chunk_011
How does the Company determine whether it obtains control of third-party products?,"The Company considers multiple factors, including evaluating if it can establish the price of the product, retains inventory risk for tangible products or has the responsibility for ensuring acceptability of the product.","For the sale of third-party products where the Company obtains control of the product before transferring it to the customer, the Company recognizes revenue based on the gross amount billed to customers. The Company considers multiple factors when determining whether it obtains control of third-party products, including evaluating if it can establish the price of the product, retains inventory risk for tangible products or has the responsibility for ensuring acceptability of the product.",fact_extraction,medium,Financial Statements,chunk_011
What is the fiscal year of the Company?,The 52- or 53-week period that ends on the last Saturday of September.,The Company’s fiscal year is the 52- or 53-week period that ends on the last Saturday of September.,fact_extraction,easy,Business,chunk_001
What is the name of the Company's media streaming and gaming device based on its tvOS operating system?,Apple TV 4K,"Apple TV 4K ® , the Company’s media streaming and gaming device based on its tvOS ® operating system, and HomePod ® and HomePod mini ® , high-fidelity wireless smart speakers.",fact_extraction,easy,Business,chunk_001
What is the name of the Company's line of multipurpose tablets based on its iPadOS operating system?,iPad,iPad iPad ® is the Company’s line of multipurpose tablets based on its iPadOS ® operating system.,fact_extraction,easy,Business,chunk_001
What is the name of the Company's line of wireless headphones?,"AirPods, AirPods Pro, AirPods Max, and Beats products","The Company’s line of wireless headphones includes AirPods ® , AirPods Pro ® , AirPods Max ® and Beats ® products.",fact_extraction,easy,Business,chunk_001
What is the name of the Company's line of desktops?,"iMac, Mac mini, Mac Studio, and Mac Pro","The Mac line includes laptops MacBook Air ® and MacBook Pro ® , as well as desktops iMac ® , Mac mini ® , Mac Studio ® and Mac Pro ® .",fact_extraction,easy,Business,chunk_001
What is the name of the Company's line of laptops?,MacBook Air and MacBook Pro,"The Mac line includes laptops MacBook Air ® and MacBook Pro ® , as well as desktops iMac ® , Mac mini ® , Mac Studio ® and Mac Pro ® .",fact_extraction,easy,Business,chunk_001
What is the name of the Company's line of spatial computers?,Apple Vision Pro,Apple Vision Pro™ is the Company’s spatial computer based on its visionOS ® operating system.,fact_extraction,easy,Business,chunk_001
What is the name of the Company's line of high-fidelity wireless smart speakers?,HomePod and HomePod mini,"Apple TV 4K ® , the Company’s media streaming and gaming device based on its tvOS ® operating system, and HomePod ® and HomePod mini ® , high-fidelity wireless smart speakers.",fact_extraction,easy,Business,chunk_001
What is the name of the Company's line of game service?,Apple Arcade,"The Company also offers digital content through subscription-based services, including Apple Arcade ® , a game service;",fact_extraction,easy,Business,chunk_001
What percentage of the Company's net sales were through its direct distribution channels in 2025?,40%,"During 2025, the Company’s net sales through its direct and indirect distribution channels accounted for 40% and 60%, respectively, of total net sales.",fact_extraction,easy,Business,chunk_002
What percentage of the Company's net sales were through its indirect distribution channels in 2025?,60%,"During 2025, the Company’s net sales through its direct and indirect distribution channels accounted for 40% and 60%, respectively, of total net sales.",fact_extraction,easy,Business,chunk_002
What are some of the principal competitive factors important to the Company?,"price, product and service features, relative price and performance, product and service quality and reliability, design and technology innovation, a strong third-party software and accessories ecosystem, marketing and distribution capability, service and support, corporate reputation, and the ability to effectively protect and enforce the Company’s intellectual property rights.","Principal competitive factors important to the Company include price, product and service features (including security features), relative price and performance, product and service quality and reliability, design and technology innovation, a strong third-party software and accessories ecosystem, marketing and distribution capability, service and support, corporate reputation, and the ability to effectively protect and enforce the Company’s intellectual property rights.",fact_extraction,medium,Business,chunk_002
What are some of the ways in which the Company's competitors seek to compete?,"aggressive pricing and very low cost structures, and by imitating the Company’s products and infringing on its intellectual property.","Many of the Company’s competitors seek to compete primarily through aggressive pricing and very low cost structures, and by imitating the Company’s products and infringing on its intellectual property.",fact_extraction,medium,Business,chunk_002
What are some of the challenges faced by the Company in terms of competition?,"aggressive price competition, downward pressure on gross margins, continual improvement in product performance, and price sensitivity on the part of consumers and businesses.","The markets for the Company’s products and services are highly competitive and are characterized by aggressive price competition, downward pressure on gross margins, continual improvement in product performance, and price sensitivity on the part of consumers and businesses.",fact_extraction,hard,Business,chunk_002
What are some of the ways in which the Company's competitors have been competing in the market?,aggressively cutting prices and lowering product margins.,Competition has been particularly intense as competitors have aggressively cut prices and lowered product margins.,fact_extraction,medium,Business,chunk_002
What are some of the characteristics of the markets in which the Company competes?,"frequent introduction of new products and services, short product life cycles, evolving industry standards, and rapid adoption of technological advancements by competitors.","The markets in which the Company competes are further defined by frequent introduction of new products and services, short product life cycles, evolving industry standards, and rapid adoption of technological advancements by competitors.",fact_extraction,hard,Business,chunk_002
What section of the Form 10-K should this section be read in conjunction with?,"Part II, Item 7, “Management’s Discussion and Analysis of Financial Condition and Results of Operations” and the consolidated financial statements and accompanying notes in Part II, Item 8, “Financial Statements and Supplementary Data”","This section should be read in conjunction with Part II, Item 7, “Management’s Discussion and Analysis of Financial Condition and Results of Operations” and the consolidated financial statements and accompanying notes in Part II, Item 8, “Financial Statements and Supplementary Data” of this Form 10-K.",fact_extraction,easy,Risk Factors,chunk_003
What are some examples of adverse economic conditions that can affect the Company's business?,"slow growth or recession, high unemployment, inflation, tighter credit, higher interest rates, and currency fluctuations","Adverse macroeconomic conditions, including slow growth or recession, high unemployment, inflation, tighter credit, higher interest rates, and currency fluctuations, can adversely impact consumer confidence and spending and materially adversely affect demand for the Company’s products and services.",fact_extraction,easy,Risk Factors,chunk_003
What can happen to the Company's trade receivables if there are adverse economic conditions?,increased credit and collectibility risk,Adverse economic conditions can also lead to increased credit and collectibility risk on the Company’s trade receivables;,fact_extraction,easy,Risk Factors,chunk_003
What are some examples of business interruptions that can affect the Company's business?,"political events, trade and other international disputes, geopolitical tensions, conflict, terrorism, natural disasters, public health issues, industrial accidents","The Company’s business can be impacted by political events, trade and other international disputes, geopolitical tensions, conflict, terrorism, natural disasters, public health issues, industrial accidents and other business interruptions.",fact_extraction,easy,Risk Factors,chunk_003
Where does the Company perform a significant majority of its manufacturing?,"China mainland, India, Japan, South Korea, Taiwan, and Vietnam","A significant majority of the Company’s manufacturing is performed in whole or in part by outsourcing partners located primarily in China mainland, India, Japan, South Korea, Taiwan and Vietnam, in addition to sourcing from partners and facilities located in the U.S.",fact_extraction,easy,Risk Factors,chunk_004
What can restrictions on international trade do to the Company's business and supply chain?,Materially adversely affect the Company’s business and supply chain,"Restrictions on international trade, such as tariffs and other controls on imports or exports of goods, technology or data, can materially adversely affect the Company’s business and supply chain.",fact_extraction,easy,Risk Factors,chunk_004
How can restrictive measures impact the Company's products and services?,Increase the cost or limit the availability,Restrictive measures can increase the cost or limit the availability of the Company’s products and the components and rare earths and other raw materials that go into them.,fact_extraction,easy,Risk Factors,chunk_004
What is the impact of trade and other international disputes on the overall macroeconomic environment?,Adverse impact,"Trade and other international disputes can also have an adverse impact on the overall macroeconomic environment and result in shifts and reductions in consumer spending and negative consumer sentiment for the Company’s products and services, all of which can further adversely affect the Company’s business and results of operations.",fact_extraction,easy,Risk Factors,chunk_004
"What type of attacks can the Company's operations, retail stores, and facilities be subject to?",Ransomware and other cybersecurity attacks,"In addition, the Company’s and its suppliers’ operations, retail stores and facilities are subject to the risk of interruption by fire, power shortages, nuclear power plant accidents and other industrial accidents, terrorist attacks and other hostile acts, ransomware and other cybersecurity attacks, labor disputes, public health issues and other events beyond the Company’s control.",fact_extraction,easy,Risk Factors,chunk_004
What is the impact of new tariffs announced on imports to the U.S.?,Uncertain,"The ultimate impact remains uncertain and will depend on several factors, including whether additional or incremental U.S. Tariffs or other measures are announced or imposed, to what extent other countries implement tariffs or other retaliatory measures in response, and the overall magnitude and duration of these measures.",fact_extraction,medium,Risk Factors,chunk_004
What is the potential impact of escalating geopolitical tensions or conflict on global supply chains?,Significant disruptions,"Global supply chains can be highly concentrated, and an escalation of geopolitical tensions or conflict could result in significant disruptions.",fact_extraction,medium,Risk Factors,chunk_004
What is the potential impact of restrictive measures on the Company's business and results of operations?,Adversely affect the Company’s business and results of operations,"Restrictive measures can also require the Company to change suppliers, restructure business relationships and operations, refrain from offering and distributing or cease to offer and distribute affected products, services and third-party applications to its customers, and increase the prices of its products and services.",multi_step_reasoning,hard,Risk Factors,chunk_004
What type of events can make it difficult or impossible for the Company to manufacture and deliver products to its customers?,Such events,"Such events can make it difficult or impossible for the Company to manufacture and deliver products to its customers, create delays and inefficiencies in the Company’s supply and manufacturing chain, result in slowdowns and outages to the Company’s service offerings, increase the Company’s costs, and negatively impact consumer spending and demand in affected areas.",fact_extraction,easy,Risk Factors,chunk_005
What is the impact of pandemics on the Company?,"They have adversely affected, and could in the future materially adversely affect, the Company due to their impact on the global economy and demand for consumer products.","Major public health issues, including pandemics such as the COVID-19 pandemic, have adversely affected, and could in the future materially adversely affect, the Company due to their impact on the global economy and demand for consumer products;",fact_extraction,medium,Risk Factors,chunk_005
What is the Company's business interruption recovery time like?,The Company can require substantial recovery time,"Following any interruption to its business, the Company can require substantial recovery time, incur significant expenditures to resume operations, and lose significant sales.",fact_extraction,easy,Risk Factors,chunk_005
What is the impact of a business interruption affecting single or limited sources for the supply and manufacture of many critical components?,It would exacerbate any negative consequences to the Company,"Because the Company relies on single or limited sources for the supply and manufacture of many critical components, a business interruption affecting such sources would exacerbate any negative consequences to the Company.",fact_extraction,medium,Risk Factors,chunk_005
What type of markets does the Company operate in?,Highly competitive global markets,"Global markets for the Company’s products and services are highly competitive and subject to rapid technological change, and the Company may be unable to compete effectively in these markets.",fact_extraction,easy,Risk Factors,chunk_005
"What is the impact of regulatory requirements, government investigations, and litigation on the Company's intellectual property rights?","They can force the Company to withdraw from, or modify its products and services for, certain countries and limit its ability to derive value from, or to enjoin others from using, its intellectual property rights.","Regulatory requirements, government investigations and litigation can force the Company to withdraw from, or modify its products and services for, certain countries and limit its ability to derive value from, or to enjoin others from using, its intellectual property rights.",fact_extraction,medium,Risk Factors,chunk_005
"What is the impact of regulatory requirements, government investigations, and litigation on the Company's ability to derive value from its intellectual property rights?",They can limit the Company's ability to derive value from its intellectual property rights,"Regulatory requirements, government investigations and litigation can force the Company to withdraw from, or modify its products and services for, certain countries and limit its ability to derive value from, or to enjoin others from using, its intellectual property rights.",fact_extraction,medium,Risk Factors,chunk_005
What is the nature of the competition in the markets in which the Company operates?,aggressive pricing and very low cost structures,"many of the Company’s competitors seek to compete primarily through aggressive pricing and very low cost structures,",fact_extraction,easy,Risk Factors,chunk_006
"What is the Company's market share in the global smartphone, personal computer, tablet and wearables markets?",a minority,"The Company has a minority market share in the global smartphone, personal computer, tablet and wearables markets,",fact_extraction,easy,Risk Factors,chunk_006
What are some of the factors that affect the success of new product and service introductions?,"the Company’s ability to recruit and retain highly skilled personnel, and the timely and successful development and market acceptance of new products, services and technologies","The success of new product and service introductions depends on a number of factors, including the Company’s ability to recruit and retain highly skilled personnel to execute on its strategic initiatives, and the timely and successful development and market acceptance of new products, services and technologies.",fact_extraction,medium,Risk Factors,chunk_006
What are some of the factors that affect the success of new product and service introductions?,quality issues or other defects or deficiencies,quality issues or other defects or deficiencies can adversely affect the success of new product and service introductions and market acceptance.,fact_extraction,easy,Risk Factors,chunk_006
What is the potential impact on the Company's business if it is unable to successfully manage future introductions and transitions of products and services?,materially adversely affected,"The Company may not be able to successfully manage future introductions and transitions of products and services, which can materially adversely affect the Company’s business, reputation, results of operations, financial condition and stock price.",fact_extraction,easy,Risk Factors,chunk_006
What is the Company's exposure to foreign exchange rate risk related to?,the Company being a net receiver of currencies other than the U.S. dollar,The Company’s exposure to foreign exchange rate risk relates primarily to the Company being a net receiver of currencies other than the U.S. dollar.,fact_extraction,easy,Market Risk,chunk_007
